title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
"rumah dijual murah di gianyar , harga 300jtan",375000000.0,"BANJAR TOJAN DESA PERING BELAHBATU GIANYAR BALI BLAHBATUH, GIANYAR",20.0,2.0,1.0,1.0,45.0,99.0
dijual cepat rumah baru siap huni model minimalis type 100/75 lokasi batubulan gianyar bali,685000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,75.0,100.0
rumah dijual di gianyar bali dekat terminal batubulan,675000000.0,"BATUBULAN KANGIN, SUKAWATI, GIANYAR, BALI. GIANYAR, GIANYAR",20.0,3.0,2.0,1.0,60.0,100.0
rumah mungil batubulan,600000000.0,"BATUBULAN, GIANYAR",6.0,5.0,2.0,2.0,108.0,70.0
"rumah cantik d gianyar balitaman nuansa tjampuhan,strategis,harga terjangkau",480000000.0,"TAMAN NUANSA TJAMPUHAN PERING, GIANYAR",20.0,2.0,1.0,2.0,46.0,100.0
rumah murah gianyar harga hanya 430jt lokasi tepi jalan,430000000.0,"BITERA BITERA, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
dijual rumah di gianyar harga 400 jutaan tepi jalan raya,425000000.0,"JL BITERA BITERA, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
rumah murah 3 kamar di batubulan dekat rs ganesha,540000000.0,"SUKAWATI, GIANYAR",10.0,3.0,1.0,1.0,60.0,80.0
"rumah baru minimalis lokasi di biaung , kesiman denpasar timur",795000000.0,"SUKAWATI, GIANYAR",4.0,3.0,2.0,1.0,70.0,85.0
rumah minimalis terdiri dari 2 kamar tidur di ketewel dijual hak milik,600000000.0,"KETEWEL, GIANYAR, BALI KETEWEL, GIANYAR",10.0,2.0,1.0,1.0,42.0,75.0
dijual rumah minimalis dekat terminal batubulan,750000000.0,"UBUD, GIANYAR",10.0,3.0,1.0,1.0,150.0,179.0
"rumah minimalis di batubulan, sukawati",500000000.0,"BATUBULAN, GIANYAR",4.0,2.0,1.0,1.0,45.0,64.0
dijual rumah di batubulan,550000000.0,"JLN RAYA BATUBULAN BLAHBATUH, GIANYAR",8.0,2.0,1.0,1.0,100.0,114.0
rumah minimalis siap huni dekat pantai,2400000000.0,"SABA, GIANYAR",10.0,4.0,3.0,1.0,350.0,370.0
dijual rumah baru free pajak kawasan batu bulan gianyar strategis deka,575000000.0,"BATUBULAN, GIANYAR",8.0,3.0,1.0,2.0,80.0,57.0
rumah murah di batubulan,575000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,65.0,86.0
dijual rumah inden 2 lt hanya 800 jutaan di batubulan bali,875000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,2.0,115.0,125.0
rumah murah minimalis dekat lapangan sepak bola celuk sukawati gianyar,499000000.0,"SUKAWATI, GIANYAR",10.0,3.0,1.0,1.0,42.0,70.0
rumah siap huni di batubulan,730000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,60.0,100.0
