title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
rumah baru indent lantai dua di batubulan,1100000000,"batubulan, gianyar",8,3,3,2,130,100,gianyar
rumah lantai 1 dikawasan batubulan gianyar bali,1838797000,"sukawati, gianyar",4,3,2,1,85,100,gianyar
"rumah modern style villa dekat baypass ida bagus mantra, gianyar",1658838000,"gianyar, gianyar",20,4,4,1,175,220,gianyar
dijual rumah siap huni lokasi batubulan,685000000,"batubulan, gianyar",4,3,2,1,65,100,gianyar
rumah cantik 1 lantai style bali di batubulan gianyar,1200000000,"batubulan, gianyar",4,3,1,1,162,200,gianyar
rumah villa lokasi di batubulan gianyar dekat kota denpasar,1850000000,"sukawati, gianyar",8,4,3,2,260,130,gianyar
rumah lantai 2 harga 595 jt singapadu gianyar,600000000,"singapadu, gianyar",8,3,2,2,120,100,gianyar
rumah baru di area campuhan saba gianyar,1200000000,"gianyar, gianyar",8,3,2,2,110,100,gianyar
rumah modern 2 kamar tidur di kompleks beachside ketewel dijual hak milik,2650000000,"ketewel, gianyar",10,2,3,1,162,168,gianyar
dijual rumah murah one gate sistem di gianyar,455000000,"bitera, gianyar",20,2,1,1,45,100,gianyar
rumah modern minimalis di pering blah batu gianyar,2500000000,"blahbatuh, gianyar",6,4,4,2,320,220,gianyar
rumah murah luas tanah 1 are di blahbatuh gianyar,575000000,"blahbatuh, gianyar",20,2,2,1,55,115,gianyar
dijual rumah dikawasan batuyang gang pipit batubulan gianyar bali,625000000,"batubulan, gianyar",4,3,1,1,90,90,gianyar
dijual rumah cantik sangat murah di ketewel gianyar,750000000,"ketewel sukawati ketewel, gianyar",8,2,1,1,70,80,gianyar
dijual rumah siap huni minimalis area batubulan,700000000,"batubulan, denpasar batubulan, gianyar",8,3,2,1,90,100,gianyar
rumah dijual murah gianyar bali 3 kt 500 juta,515000000,"bitera gianyar, gianyar",20,3,2,1,60,100,gianyar
rumah murah di kelaci batubulan harga all-in,550000000,"batubulan, gianyar",4,2,1,1,45,70,gianyar
rumah dijual di gianyar bali semi villa type 42/99 bali,375000000,"payangan, gianyar",20,2,1,1,45,99,gianyar
"dijual rumah murah, bonus melimpah, akses mudah di batubulan, bali",685000000,"batu asri, batubulan, sukawati, gianyar, bali batubulan, gianyar",10,3,2,1,65,100,gianyar
rumah murah di batubulan,550000000,"sukawati, gianyar",10,2,1,1,45,80,gianyar
rumah murah di batubulan,550000000,"batubulan ubud, gianyar",4,2,1,1,45,80,gianyar
rumah batubulan gianyar bali near sanur denpasar renon id:b-08 sale jual,950000000,"batubulan, gianyar",4,3,3,2,150,100,gianyar
rumah siap huni di sasih batu bulan,750000000,"batubulan, gianyar",10,3,2,1,70,100,gianyar
rumah 2 lantai harga murah all in di batubulan sukawati,875000000,gianyar,4,3,2,2,115,125,gianyar
rumah di batubulan,1800000000,"batubulan, gianyar",4,4,2,2,240,250,gianyar
id:a-705 for sale rumah batubulan sukawati gianyar bali near gatsu,950000000,"jalan smki batubulan sukawati gianyar bali batubulan, gianyar",10,3,2,1,70,100,gianyar
jual rumah lantai 2 di pering gianyar bali,1150000000,"gianyar, gianyar",8,3,2,2,130,100,gianyar
"rumah minimalis area batubulan, sukawati gianyar",670000000,"batubulan, gianyar",4,2,2,1,65,100,gianyar
miliki sekarang juga rumah 2 lantai harga 900jtan dekat terminal batubulan,965000000,"gang dewi uma, batubulan, sukawati gianyar sukawati, gianyar",10,3,2,2,115,100,gianyar
sale rumah ala villa di ubud bali bisa longlease,3500000000,"ubud, gianyar",4,3,3,2,160,175,gianyar
"rumah murah siap huni dekat aero park di gianyar, bali",340000000,"keramas, gianyar, bali keramas, gianyar",10,2,1,1,36,65,gianyar
rumah cantik 2 lantai 10 menit ke pantai sanur,965000000,"sukawati sukawati, gianyar",10,3,2,2,115,100,gianyar
dijual rumah baru minimalis di kawasan batubulan bali,670000000,"batubulan, gianyar",4,3,2,1,75,100,gianyar
rumah murah batubulan 2 kamar tidur dekat rs ganesha,495000000,"gianyar, gianyar",4,2,1,1,45,55,gianyar
rumah siap huni tanah 1are di batu bulan,690000000,jalan taman intan pasekan patu bulan gianyar,20,3,2,1,60,100,gianyar
rumah murah belakang rumah sakit ganesha batubulan,615000000,"batubulan, gianyar",10,2,1,1,50,80,gianyar
dijual rumah baru free pajak kawasan batu bulan gianyar strategis,665000000,"batubulan, gianyar",10,3,2,1,70,100,gianyar
jual cepat rumah 2 lantai under 1m di batubulan bali,965000000,"batubulan, gianyar",8,4,2,2,115,100,gianyar
rumah bagus setrategis jalan besar batubulan,750000000,"batubulan, gianyar",10,3,2,1,70,100,gianyar
"dijual rumah indent view sawah include pajak mulai 500 jtan batubulan,",595000000,"batubulan, gianyar",20,3,2,1,55,100,gianyar
"dijual rumah minimalis 1 lantai area batu bulan gianyar, bali",850000000,"batubulan, gianyar",20,3,2,1,90,150,gianyar
rumah mersanen minimalis luas tanah 75m2 lokasi ida bagus mantra,435000000,"gianyar, gianyar",4,2,2,2,50,75,gianyar
rumah konsep bali modern murah di gianyar dekat stadion,575000000,"blahbatuh, gianyar",20,2,2,1,55,115,gianyar
rumah inden lantai 2 murah di gianyar dekat denpasar,875000000,"sukawati, gianyar",4,3,2,2,115,125,gianyar
rumah 2 lantai full furnsihed desain minimalis daerah batubulan,590000000,"batubulan, gianyar",10,2,2,2,80,57,gianyar
